text,user,location
"RT @wef: Apart from the lungs, doctors think coronavirus can affect these parts of the body https://t.co/nLgGHbUCbi #coronavirus #health ht…",DominicNewbould,"UK, Vietnam 🇬🇧🇻🇳"
"RT @GregAbbott_TX: Open Texas continues as Hair and Nail Salons can open on May 8 and Gyms can open on May 18. 

That and more announced to…",TonyReed_,"Pearland, TX"
"Your sacrifice, his altar! Trump poised to wind down Covid-19 taskforce as US death toll tops 70,000 #COVID19 #TrumpVirus #TrumpCrimeFamily https://t.co/eTA32unoAY",Max_Gross,Sapphire Coast
"RT @HillBeverlyhill: Trump's staff cuts have undermined Covid-19 containment efforts, watchdog finds https://t.co/OW9d1nOkem",boandsunny,boandsunny
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",jamiesbowen,Kamala's America
The family of a cruise crew member who died after testing positive for COVID-19 filed a lawsuit against Royal Caribbean Cruises saying the company failed to protect its employees as the pandemic ravaged sailings around the world. https://t.co/qkoPWZ5xKU,weartv,Pensacola/Fort Walton Beach
"RT @JohnsHopkins: Herd protection can stop the spread of an infectious disease within a population, but the U.S. is nowhere near that point…",EDiegorojas84,
"RT @NYCEMSwatch: “So many nights, I went home and just cried. I know I did my best but it really felt like I didn’t, because so many people…",HFRebelfan,Mississippi
"So why the pressure to declare a covid-19 case in a state if all these are not a planned stuff by powerful people bought by globalist $$? What's their gain to have all of Nigeria states with covid-19? Is this science or manufactured pandemic?

https://t.co/sJfZHV2MGC",urhoruba,
"RT @cnni: The virus that causes Covid-19 has been circulating in people since late last year, and must have spread extremely quickly after…",abac89606666,
RT @thehill: Trump says Fauci and Birx will still be involved in coronavirus efforts https://t.co/NhGG37p88O https://t.co/zhdh1ICl2r,Iavs1,
"RT @WSJ: “Brazil is already the global epicenter of the coronavirus."" One study concludes the country might have more Covid-19 cases than t…",Medavids,
RT @thehill: Trump ready to turn page on coronavirus despite crisis-level cases https://t.co/AXS60uD7ku https://t.co/sqtp1fCYd5,BMoonan,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",ThatDudesMother,"The Planet Earth, Milky Way "
"RT @DukeHealth: An Outer Banks woman is recovering after a rare, 3rd double lung transplant. Duke lung transplant specialist Dr. John Haney…",alex_hank8,"Charleston, SC"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",tdzwilewski,"Boise, Idaho"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",wallyxie,"Irvine, CA"
"Coronavirus In Pittsburgh: Researcher Killed In Apparent Murder-Suicide Was Close To 'Making Very Significant Findings' Related To COVID-19, Pitt Says https://t.co/2vmWLIsUC8",ebeh,MA
RT @SafetyPinDaily: 'For the lives of our mothers': Covid-19 sparks fight for maids' rights in Brazil || Via Guardian https://t.co/kWNZEhtb…,AnmreS,
RT @NYDailyNews: Grim and disturbing videos show at least 20 bodies wrapped in black bags carted out of a Harlem nursing home during the co…,askrizzo,"Charleston, SC 🚀"
#covid-19  The Parisian newspaper: Coronavirus: the first case in France on December 27 https://t.co/7oterufiYn,Z3AQXWNLWjziD3C,
"RT @tribelaw: FEMA now projects 200,000 new coronavirus cases a day by the end of the month (it’s now about 25,000 new cases a day), and by…",chihooker51,las vegas nv
RT @guardiannews: New York reports 15 cases of rare illness in children possibly linked to Covid-19 https://t.co/ZpyJRlJvVN,HasnaElAnes,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",Inalein_19,
"RT @andrewboxford: The team of professors at ASU and U of A was compiling the most robust public model in Arizona of COVID-19

Now, as the…",TurnUSABlue2020,"Arizona, USA"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",Woody_White_,"Charleston, WV"
